text,label
"I have been experiencing increased urination, abdominal pain, nausea.",Diabetes
"I have been experiencing chest pain, shortness of breath, dizziness.",Heart Disease
"I have been experiencing memory loss, stiffness and difficulty walking.",Parkinson's Disease
"I have been experiencing frequent headaches, blurred vision, nausea.",Migraine
"I have been experiencing abdominal pain, diarrhea, fever.",Gastroenteritis
"I have been experiencing cough, fever, fatigue.",Flu
"I have been experiencing joint pain, swelling, stiffness.",Arthritis
"I have been experiencing fatigue, weight loss, night sweats.",Tuberculosis
"I have been experiencing dizziness, fainting, palpitations.",Arrhythmia
"I have been experiencing dry skin, hair loss, fatigue.",Hypothyroidism
